ville,date,temp_max_c,temp_min_c,temp_moyenne_c,precipitation_mm,vent_max_kmh,code_meteo
Paris,2026-06-02,22.7,17.3,19.5,5.6,19.9,96
Paris,2026-06-03,20.6,14.3,17.4,0.0,22.2,3
Paris,2026-06-04,20.5,15.3,17.4,2.1,19.1,80
Paris,2026-06-05,19.3,12.2,15.9,0.0,12.6,3
Paris,2026-06-06,21.1,14.0,16.9,1.7,21.4,61
Paris,2026-06-07,23.3,12.5,17.9,0.0,12.2,3
Paris,2026-06-08,22.5,14.1,18.0,1.5,19.0,61
Lyon,2026-06-02,24.2,17.6,20.4,32.3,16.8,99
Lyon,2026-06-03,22.6,14.5,18.7,0.0,8.9,3
Lyon,2026-06-04,19.5,14.5,17.0,18.4,10.8,80
Lyon,2026-06-05,20.4,12.8,16.6,0.0,11.8,61
Lyon,2026-06-06,26.7,14.1,20.0,0.0,14.1,3
Lyon,2026-06-07,25.1,15.4,20.4,0.0,8.9,3
Lyon,2026-06-08,28.1,15.9,21.1,2.5,15.8,95
Marseille,2026-06-02,25.7,21.7,23.6,0.0,19.4,51
Marseille,2026-06-03,25.9,18.6,21.9,0.0,32.7,3
Marseille,2026-06-04,23.9,17.7,21.0,3.9,26.2,53
Marseille,2026-06-05,23.1,15.3,18.7,0.0,29.2,3
Marseille,2026-06-06,21.9,17.5,20.0,0.0,13.0,3
Marseille,2026-06-07,26.1,19.5,21.9,0.0,17.8,3
Marseille,2026-06-08,25.6,19.8,22.7,0.0,14.0,3
Bordeaux,2026-06-02,21.8,17.2,19.0,0.3,21.5,80
Bordeaux,2026-06-03,21.8,15.1,18.4,0.0,19.6,3
Bordeaux,2026-06-04,19.0,15.8,17.8,1.5,19.6,80
Bordeaux,2026-06-05,20.9,12.0,16.6,0.0,7.5,3
Bordeaux,2026-06-06,21.8,14.0,18.0,0.0,20.2,3
Bordeaux,2026-06-07,26.1,13.8,19.8,0.0,11.6,3
Bordeaux,2026-06-08,22.7,16.4,19.5,0.0,16.8,3
